@relation train-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute 20 numeric
@attribute 21 numeric
@attribute 22 numeric
@attribute 23 numeric
@attribute 24 numeric
@attribute 25 numeric
@attribute 26 numeric
@attribute 27 numeric
@attribute 28 numeric
@attribute 29 numeric
@attribute 30 numeric
@attribute 31 numeric
@attribute 32 numeric
@attribute 33 numeric
@attribute 34 numeric
@attribute 35 numeric
@attribute 36 numeric
@attribute 37 numeric
@attribute 38 numeric
@attribute 39 numeric
@attribute 40 numeric
@attribute 41 {1,2,3,4,5,}

@data
0.063487,0.021083,0.040997,0.093978,0.083489,0.038696,0.039614,0.11866,0.032016,0.0063657,0.0043494,0.006949,0.011336,0.010805,0.0050314,0.018694,0.0090215,0.003949,0.0040531,0.005162,0.0063777,0.0037748,0.0078037,0.039467,0.012833,0.0065682,0.021056,0.049147,0.035162,0.013302,0.018176,0.034146,0.0096167,0.0041996,0.011539,0.03272,0.030614,0.010814,0.0086035,0.026349,5
0.068961,0.030712,0.051558,0.083661,0.087578,0.048311,0.041856,0.087363,0.030959,0.0052495,0.0034077,0.0050253,0.0092222,0.0078185,0.0041149,0.0063125,0.012393,0.0046034,0.0047146,0.0031298,0.0046961,0.0049062,0.0099517,0.023556,0.015474,0.010333,0.028669,0.050846,0.037986,0.017111,0.018531,0.035202,0.010135,0.010526,0.014766,0.02466,0.035674,0.018476,0.0092584,0.022293,5
0.036817,0.031211,0.072735,0.09266,0.074536,0.05411,0.058525,0.079406,0.0029939,0.0066971,0.0067631,0.0074985,0.011766,0.01258,0.00564,0.0029832,0.0092096,0.006328,0.0054001,0.0036374,0.0046895,0.0039861,0.0079623,0.02369,0.012133,0.0097016,0.036389,0.051755,0.030535,0.020421,0.030297,0.035341,0.01248,0.0084846,0.024183,0.029769,0.027545,0.017123,0.014625,0.017392,5
0.064362,0.038606,0.056932,0.067248,0.077599,0.055721,0.047764,0.091768,0.029891,0.0078301,0.0067533,0.0061239,0.0090881,0.011486,0.0053447,0.010776,0.011695,0.0058517,0.0047534,0.0033752,0.0038189,0.004123,0.010561,0.03097,0.014741,0.015046,0.027148,0.033789,0.037966,0.021642,0.021346,0.033171,0.0080358,0.0098781,0.018277,0.023961,0.026726,0.01847,0.010512,0.016851,5
0.044629,0.019583,0.059827,0.10769,0.053784,0.033916,0.048441,0.13214,0.023323,0.00585,0.0050354,0.0077965,0.0085108,0.0085717,0.0044627,0.026863,0.0055188,0.0023253,0.0059431,0.0025415,0.0018445,0.0025336,0.0073426,0.042693,0.008816,0.0057098,0.031766,0.063785,0.021524,0.012483,0.027123,0.038982,0.0069715,0.0056975,0.017082,0.033562,0.021904,0.010327,0.0095123,0.023598,5
0.064653,0.031005,0.054633,0.07201,0.062443,0.04602,0.049685,0.11955,0.034971,0.0059088,0.0044401,0.0071227,0.009136,0.0096577,0.00567,0.021878,0.011298,0.0039687,0.0054449,0.0037403,0.0025621,0.0032668,0.010886,0.041966,0.010056,0.0099434,0.030787,0.031717,0.020193,0.015634,0.023922,0.032968,0.0083289,0.011184,0.01396,0.02943,0.030552,0.017462,0.0092072,0.022738,5
0.061075,0.023433,0.048251,0.083069,0.059248,0.037587,0.043042,0.14429,0.033388,0.0066636,0.0045239,0.0078268,0.0098533,0.0098613,0.005252,0.026082,0.0095614,0.0033201,0.0049374,0.0040312,0.0044048,0.0035624,0.0092128,0.052842,0.011342,0.0062164,0.022415,0.03752,0.021315,0.01253,0.019371,0.040982,0.0067846,0.0072332,0.016375,0.033691,0.023675,0.011634,0.0092062,0.024389,5
0.071763,0.033582,0.056508,0.073935,0.078539,0.051595,0.047067,0.087011,0.035283,0.0067667,0.0034049,0.0050291,0.0088476,0.0099039,0.0052419,0.013525,0.012928,0.0044305,0.004795,0.0022404,0.003051,0.0041416,0.01003,0.025677,0.013241,0.011652,0.033543,0.042291,0.03528,0.020484,0.023634,0.03079,0.01031,0.010733,0.014765,0.024375,0.03136,0.017066,0.0081605,0.01702,5
0.069005,0.032837,0.041333,0.071085,0.094645,0.030763,0.039934,0.1204,0.035822,0.014863,0.012092,0.02029,0.018091,0.012206,0.019317,0.04234,0.016112,0.0085597,0.0081067,0.0035097,0.0042442,0.00398,0.006201,0.048137,0.010911,0.0048487,0.013271,0.034007,0.020107,0.0072566,0.01028,0.02366,0.0061597,0.0045649,0.007863,0.013277,0.052203,0.0073208,0.0041362,0.0062617,1
0.040751,0.03053,0.069068,0.083171,0.089895,0.041491,0.068691,0.076404,0.0089628,0.011971,0.014771,0.011837,0.015721,0.014692,0.01598,0.012666,0.016285,0.0069902,0.0069491,0.0063429,0.0062779,0.004466,0.0091324,0.031794,0.011887,0.0055387,0.03533,0.047833,0.021868,0.010968,0.035379,0.02474,0.0036155,0.00603,0.012018,0.017159,0.046028,0.011365,0.0081997,0.0072033,1
